method,n_components,algorithm,k,silhouette,dunn,wcss,ari,nmi,time
PCA_randomized,7,PCA_randomized,8,0.27176335935757334,0.009686629181604633,6413.591788596808,0.18641023722218064,0.4068739550648247,0.039023399353027344
PCA_randomized,8,PCA_randomized,2,0.2480602318902777,0.01707468831868681,13319.45121299801,0.18293789086742732,0.28813998239806937,0.020435571670532227
PCA_randomized,8,PCA_randomized,3,0.17076351648984198,0.007899298165468862,11926.70511438738,0.3191425841891569,0.44871197344427066,0.02491927146911621
PCA_randomized,8,PCA_randomized,4,0.20029741559762795,0.007432510104668092,10706.461568632609,0.26752664542357985,0.41151406379702427,0.028665781021118164
PCA_randomized,8,PCA_randomized,5,0.2106620170305757,0.007925349969078415,9596.665445059205,0.2822942533787496,0.42648515168453416,0.031821489334106445
PCA_randomized,8,PCA_randomized,6,0.22112527957203976,0.00897508141888032,8736.092092227198,0.20637732506643047,0.3741530197002781,0.014831066131591797
PCA_randomized,8,PCA_randomized,7,0.22416752311583085,0.022724500500121748,7902.354584566403,0.2187121848440414,0.40449618739732474,0.03743863105773926
PCA_randomized,8,PCA_randomized,8,0.2361903554276965,0.023076394561621853,7281.390582809367,0.22026014120767268,0.4390846004606905,0.036566734313964844
PCA_randomized,9,PCA_randomized,2,0.24238357771455762,0.017037468026164442,14265.709441314613,0.18293789086742732,0.28813998239806937,0.01756453514099121
PCA_randomized,9,PCA_randomized,3,0.19686498518923962,0.021478595473963177,12843.215019571851,0.28080425285541344,0.4393859132685782,0.028669357299804688
PCA_randomized,9,PCA_randomized,4,0.19218827804476946,0.007414349826358375,11645.591223131454,0.2822942533787496,0.42648515168453416,0.02672553062438965
PCA_randomized,9,PCA_randomized,5,0.20319227936582082,0.016893120137099617,10551.785531905318,0.2690059702866323,0.44069686696545146,0.03744626045227051
PCA_randomized,9,PCA_randomized,6,0.19484509910822964,0.008110655413068163,9658.304973510605,0.20523098846875318,0.401326199626216,0.028969287872314453
PCA_randomized,9,PCA_randomized,7,0.22505156630749207,0.008039981740171797,8922.00704792437,0.16965194536864014,0.3857004730206304,0.03923749923706055
PCA_randomized,9,PCA_randomized,8,0.2325623618964713,0.008110655413068163,8139.14054134129,0.18576363446037894,0.40122690012902135,0.041271209716796875
PCA_randomized,10,PCA_randomized,2,0.23449049459325855,0.016044723215312605,15113.414354687444,0.18293789086742732,0.28813998239806937,0.02239203453063965
PCA_randomized,10,PCA_randomized,3,0.18219703091268952,0.021812205578462602,13688.473493533038,0.27137217748302545,0.42473529867605336,0.02765679359436035
PCA_randomized,10,PCA_randomized,4,0.18323005946769183,0.007363145189505078,12486.473279448204,0.2822942533787496,0.42648515168453416,0.027733802795410156
PCA_randomized,10,PCA_randomized,5,0.1945129221819304,0.015800862837458976,11394.799175249575,0.26226777380755584,0.43834123470501124,0.029894351959228516
PCA_randomized,10,PCA_randomized,6,0.19703733366498932,0.007808152931117826,10510.539041697419,0.20637732506643047,0.37415301970027814,0.029774904251098633
PCA_randomized,10,PCA_randomized,7,0.2242807451904188,0.00617417865302223,9627.494417590951,0.20472999309661452,0.37099685682698647,0.037322044372558594
PCA_randomized,10,PCA_randomized,8,0.21750686796723168,0.018170807736877556,8985.202873132945,0.16534943058062107,0.3546413492381887,0.051404476165771484
PCA_randomized,11,PCA_randomized,2,0.22662847811712572,0.0225425665016015,15847.427855898635,0.18293789086742732,0.28813998239806937,0.023617982864379883
PCA_randomized,11,PCA_randomized,3,0.1725701821708657,0.007468580085741535,14420.90065853491,0.27137217748302545,0.4247352986760535,0.030081987380981445
PCA_randomized,11,PCA_randomized,4,0.17267437566560878,0.0073516174192660285,13218.713162946677,0.260103436023635,0.41185177526481626,0.035689353942871094
PCA_randomized,11,PCA_randomized,5,0.18216788983964052,0.015755885908307007,12096.5952722689,0.26226777380755584,0.43834123470501124,0.11021089553833008
PCA_randomized,11,PCA_randomized,6,0.1915157403993228,0.006656713391416898,11158.767268654166,0.26752664542357985,0.41151406379702427,0.03970932960510254
PCA_randomized,11,PCA_randomized,7,0.1876848956140145,0.016047139058241046,10478.063301929169,0.21030654754737882,0.4024688828819917,0.03811502456665039
PCA_randomized,11,PCA_randomized,8,0.1987260906392831,0.018881335614533278,9669.596712815479,0.2863271738328397,0.47530262256714845,0.05424213409423828
PCA_randomized,12,PCA_randomized,2,0.21725031621640883,0.02262247755574736,16551.983429565127,0.19850435187090196,0.30314614342986157,0.030791282653808594
PCA_randomized,12,PCA_randomized,3,0.17446312787102844,0.025455722806244648,15101.629161368734,0.2621998450813323,0.41602535764458426,0.03847980499267578
PCA_randomized,12,PCA_randomized,4,0.1774239761361576,0.017248666845602702,13915.233214920421,0.25275903746841005,0.40170674460513117,0.03380250930786133
PCA_randomized,12,PCA_randomized,5,0.18002613505290352,0.017993598338077888,12739.554146667793,0.2653071683286712,0.43422923919819556,0.049481868743896484
PCA_randomized,12,PCA_randomized,6,0.16883396637957626,0.02140768976788871,11813.502220308905,0.20523098846875318,0.401326199626216,0.05422472953796387
PCA_randomized,12,PCA_randomized,7,0.1822680771028881,0.02140768976788871,10939.716233769908,0.21376484577584848,0.40334379727612385,0.055690765380859375
PCA_randomized,12,PCA_randomized,8,0.20886454635696722,0.02085328481230307,10204.12430003822,0.18974422801667806,0.3865602052948526,0.05837225914001465
PCA_randomized,13,PCA_randomized,2,0.21360331784451553,0.0229753428261413,17151.127896022415,0.18293789086742732,0.28813998239806937,0.03027033805847168
PCA_randomized,13,PCA_randomized,3,0.1722504172239092,0.026624619934208702,15689.308835400352,0.23513525071465932,0.39023931586788657,0.036472320556640625
PCA_randomized,13,PCA_randomized,4,0.18294842613726212,0.02050875503765903,14495.004121742582,0.2322317790855591,0.3926130792888557,0.05054783821105957
